STATION,NAME,DATE,SNOW
USC00106152,"MOSCOW U OF I, ID US",1/1/15,0
USC00106152,"MOSCOW U OF I, ID US",1/2/15,0
USC00106152,"MOSCOW U OF I, ID US",1/3/15,0
USC00106152,"MOSCOW U OF I, ID US",1/4/15,4
USC00106152,"MOSCOW U OF I, ID US",1/5/15,0
USC00106152,"MOSCOW U OF I, ID US",1/6/15,0
USC00106152,"MOSCOW U OF I, ID US",1/7/15,0
USC00106152,"MOSCOW U OF I, ID US",1/8/15,0
USC00106152,"MOSCOW U OF I, ID US",1/9/15,0
USC00106152,"MOSCOW U OF I, ID US",1/10/15,0
USC00106152,"MOSCOW U OF I, ID US",1/11/15,0.3
USC00106152,"MOSCOW U OF I, ID US",1/12/15,0
USC00106152,"MOSCOW U OF I, ID US",1/13/15,0
USC00106152,"MOSCOW U OF I, ID US",1/14/15,0
USC00106152,"MOSCOW U OF I, ID US",1/15/15,0
USC00106152,"MOSCOW U OF I, ID US",1/16/15,0
USC00106152,"MOSCOW U OF I, ID US",1/17/15,0
USC00106152,"MOSCOW U OF I, ID US",1/18/15,0
USC00106152,"MOSCOW U OF I, ID US",1/19/15,0
USC00106152,"MOSCOW U OF I, ID US",1/20/15,0
USC00106152,"MOSCOW U OF I, ID US",1/21/15,0
USC00106152,"MOSCOW U OF I, ID US",1/22/15,0
USC00106152,"MOSCOW U OF I, ID US",1/23/15,1
USC00106152,"MOSCOW U OF I, ID US",1/24/15,0
USC00106152,"MOSCOW U OF I, ID US",1/25/15,0
USC00106152,"MOSCOW U OF I, ID US",1/26/15,0
USC00106152,"MOSCOW U OF I, ID US",1/27/15,0
USC00106152,"MOSCOW U OF I, ID US",1/28/15,0
USC00106152,"MOSCOW U OF I, ID US",1/29/15,0
USC00106152,"MOSCOW U OF I, ID US",1/30/15,0
USC00106152,"MOSCOW U OF I, ID US",1/31/15,0.3
USC00106152,"MOSCOW U OF I, ID US",2/1/15,1.5
USC00106152,"MOSCOW U OF I, ID US",2/2/15,0.5
USC00106152,"MOSCOW U OF I, ID US",2/3/15,0
USC00106152,"MOSCOW U OF I, ID US",2/4/15,0
USC00106152,"MOSCOW U OF I, ID US",2/5/15,0
USC00106152,"MOSCOW U OF I, ID US",2/6/15,0
USC00106152,"MOSCOW U OF I, ID US",2/7/15,0
USC00106152,"MOSCOW U OF I, ID US",2/8/15,0
USC00106152,"MOSCOW U OF I, ID US",2/9/15,0
USC00106152,"MOSCOW U OF I, ID US",2/10/15,0
USC00106152,"MOSCOW U OF I, ID US",2/11/15,0
USC00106152,"MOSCOW U OF I, ID US",2/12/15,0
USC00106152,"MOSCOW U OF I, ID US",2/13/15,0
USC00106152,"MOSCOW U OF I, ID US",2/14/15,0
USC00106152,"MOSCOW U OF I, ID US",2/15/15,0
USC00106152,"MOSCOW U OF I, ID US",2/16/15,0
USC00106152,"MOSCOW U OF I, ID US",2/17/15,0
USC00106152,"MOSCOW U OF I, ID US",2/18/15,0
USC00106152,"MOSCOW U OF I, ID US",2/19/15,0
USC00106152,"MOSCOW U OF I, ID US",2/20/15,0
USC00106152,"MOSCOW U OF I, ID US",2/21/15,0
USC00106152,"MOSCOW U OF I, ID US",2/22/15,0
USC00106152,"MOSCOW U OF I, ID US",2/23/15,0
USC00106152,"MOSCOW U OF I, ID US",2/24/15,0
USC00106152,"MOSCOW U OF I, ID US",2/25/15,0
USC00106152,"MOSCOW U OF I, ID US",2/26/15,0
USC00106152,"MOSCOW U OF I, ID US",2/27/15,0
USC00106152,"MOSCOW U OF I, ID US",2/28/15,0
USC00106152,"MOSCOW U OF I, ID US",3/1/15,0
USC00106152,"MOSCOW U OF I, ID US",3/2/15,0
USC00106152,"MOSCOW U OF I, ID US",3/3/15,0
USC00106152,"MOSCOW U OF I, ID US",3/4/15,0
USC00106152,"MOSCOW U OF I, ID US",3/5/15,0
USC00106152,"MOSCOW U OF I, ID US",3/6/15,0
USC00106152,"MOSCOW U OF I, ID US",3/7/15,0
USC00106152,"MOSCOW U OF I, ID US",3/8/15,0
USC00106152,"MOSCOW U OF I, ID US",3/9/15,0
USC00106152,"MOSCOW U OF I, ID US",3/10/15,0
USC00106152,"MOSCOW U OF I, ID US",3/11/15,0
USC00106152,"MOSCOW U OF I, ID US",3/12/15,0
USC00106152,"MOSCOW U OF I, ID US",3/13/15,0
USC00106152,"MOSCOW U OF I, ID US",3/14/15,0
USC00106152,"MOSCOW U OF I, ID US",3/15/15,0
USC00106152,"MOSCOW U OF I, ID US",3/16/15,0
USC00106152,"MOSCOW U OF I, ID US",3/17/15,0
USC00106152,"MOSCOW U OF I, ID US",3/18/15,0
USC00106152,"MOSCOW U OF I, ID US",3/19/15,0
USC00106152,"MOSCOW U OF I, ID US",3/20/15,0
USC00106152,"MOSCOW U OF I, ID US",3/21/15,0
USC00106152,"MOSCOW U OF I, ID US",3/22/15,0
USC00106152,"MOSCOW U OF I, ID US",3/23/15,0
USC00106152,"MOSCOW U OF I, ID US",3/24/15,0
USC00106152,"MOSCOW U OF I, ID US",3/25/15,0.5
USC00106152,"MOSCOW U OF I, ID US",3/26/15,0
USC00106152,"MOSCOW U OF I, ID US",3/27/15,0
USC00106152,"MOSCOW U OF I, ID US",3/28/15,0
USC00106152,"MOSCOW U OF I, ID US",3/29/15,0
USC00106152,"MOSCOW U OF I, ID US",3/30/15,0
USC00106152,"MOSCOW U OF I, ID US",3/31/15,0
USC00106152,"MOSCOW U OF I, ID US",4/1/15,0
USC00106152,"MOSCOW U OF I, ID US",4/2/15,0
USC00106152,"MOSCOW U OF I, ID US",4/3/15,0
USC00106152,"MOSCOW U OF I, ID US",4/4/15,0
USC00106152,"MOSCOW U OF I, ID US",4/5/15,0
USC00106152,"MOSCOW U OF I, ID US",4/6/15,0.3
USC00106152,"MOSCOW U OF I, ID US",4/7/15,0
USC00106152,"MOSCOW U OF I, ID US",4/8/15,0
USC00106152,"MOSCOW U OF I, ID US",4/9/15,0
USC00106152,"MOSCOW U OF I, ID US",4/10/15,0
USC00106152,"MOSCOW U OF I, ID US",4/11/15,0
USC00106152,"MOSCOW U OF I, ID US",4/12/15,0
USC00106152,"MOSCOW U OF I, ID US",4/13/15,0
USC00106152,"MOSCOW U OF I, ID US",4/14/15,0.2
USC00106152,"MOSCOW U OF I, ID US",4/15/15,0
USC00106152,"MOSCOW U OF I, ID US",4/16/15,0
USC00106152,"MOSCOW U OF I, ID US",4/17/15,0
USC00106152,"MOSCOW U OF I, ID US",4/18/15,0
USC00106152,"MOSCOW U OF I, ID US",4/19/15,0
